wl,LightSet,Watts/sr/m2,Color
375,Red30,3.8402e-05,Red
375,Red40,0,Red
375,Red50,2.2891e-07,Red
375,Red60,0,Red
375,Red70,0,Red
375,Red80,9.6461e-05,Red
375,Red90,0.00010408,Red
375,White10,1.9551e-05,White
375,White100,6.2887e-05,White
375,White20,3.2401e-05,White
375,White30,0,White
375,White40,0,White
375,White50,0,White
375,White60,4.5887e-05,White
375,White70,5.0917e-05,White
375,White80,6.5757e-05,White
375,White90,6.8958e-05,White
376,Red10,0.0001656,Red
376,Red100,0.00014888,Red
376,Red20,1.869e-06,Red
376,Red30,0.00013929,Red
376,Red40,7.9367e-06,Red
376,Red50,5.0958e-05,Red
376,Red60,2.2224e-05,Red
376,Red70,1.8154e-05,Red
376,Red80,0.00010847,Red
376,Red90,0.00014092,Red
376,White10,1.3369e-05,White
376,White100,6.137e-05,White
376,White20,2.6146e-05,White
376,White30,0,White
376,White40,0,White
376,White50,0,White
376,White60,4.741e-05,White
376,White70,6.4109e-05,White
376,White80,6.7536e-05,White
376,White90,5.5929e-05,White
377,Red10,0.00014684,Red
377,Red100,8.7183e-05,Red
377,Red20,0,Red
377,Red30,6.8415e-05,Red
377,Red40,0,Red
377,Red50,7.3119e-05,Red
377,Red60,2.669e-05,Red
377,Red70,7.2802e-06,Red
377,Red80,4.7499e-05,Red
377,Red90,8.2363e-05,Red
377,White10,7.9043e-06,White
377,White100,8.1499e-05,White
377,White20,2.3983e-05,White
377,White30,0,White
377,White40,0,White
377,White50,0,White
377,White60,5.2877e-05,White
377,White70,7.6746e-05,White
377,White80,8.0462e-05,White
377,White90,6.9092e-05,White
378,Red10,0.00011032,Red
378,Red100,0,Red
378,Red20,0,Red
378,Red30,0,Red
378,Red40,0,Red
378,Red50,1.4303e-05,Red
378,Red60,0,Red
378,Red70,0,Red
378,Red80,1.7596e-07,Red
378,Red90,0,Red
378,White10,1.7136e-05,White
378,White100,7.4987e-05,White
378,White20,3.1278e-05,White
378,White30,0,White
378,White40,0,White
378,White50,0,White
378,White60,5.3662e-05,White
378,White70,6.1941e-05,White
378,White80,7.8304e-05,White
378,White90,7.5819e-05,White
379,Red10,9.2352e-05,Red
379,Red100,2.2894e-05,Red
379,Red20,0,Red
379,Red30,0,Red
379,Red40,0,Red
379,Red50,0,Red
379,Red60,0,Red
379,Red70,2.4008e-06,Red
379,Red80,0,Red
379,Red90,5.8319e-06,Red
379,White10,1.5245e-05,White
379,White100,5.993e-05,White
379,White20,3.1457e-05,White
379,White30,0,White
379,White40,0,White
379,White50,0,White
379,White60,4.5113e-05,White
379,White70,4.1486e-05,White
379,White80,6.3662e-05,White
379,White90,6.8148e-05,White
380,Red10,9.2407e-05,Red
380,Red100,6.2834e-05,Red
380,Red20,0,Red
380,Red30,2.4706e-05,Red
380,Red40,2.5915e-05,Red
380,Red50,0,Red
380,Red60,1.4016e-05,Red
380,Red70,0,Red
380,Red80,3.7139e-06,Red
380,Red90,2.8434e-05,Red
380,White10,9.8194e-06,White
380,White100,5.9085e-05,White
380,White20,2.4788e-05,White
380,White30,0,White
380,White40,0,White
380,White50,0,White
380,White60,3.1858e-05,White
380,White70,3.657e-05,White
380,White80,6.0556e-05,White
380,White90,6.8647e-05,White
381,Red10,0.00013803,Red
381,Red100,1.3106e-05,Red
381,Red20,0,Red
381,Red30,3.2039e-05,Red
381,Red40,9.9327e-06,Red
381,Red50,0,Red
381,Red60,3.2343e-05,Red
381,Red70,3.0134e-07,Red
381,Red80,1.7677e-06,Red
381,Red90,8.8384e-07,Red
381,White10,7.7218e-06,White
381,White100,6.5012e-05,White
381,White20,2.1294e-05,White
381,White30,0,White
381,White40,0,White
381,White50,0,White
381,White60,3.5871e-05,White
381,White70,4.9475e-05,White
381,White80,6.0532e-05,White
381,White90,7.7036e-05,White
382,Red10,0.00018174,Red
382,Red100,3.125e-06,Red
382,Red20,4.4215e-05,Red
382,Red30,4.3202e-05,Red
382,Red40,3.8824e-07,Red
382,Red50,4.5864e-05,Red
382,Red60,6.349e-05,Red
382,Red70,7.2519e-06,Red
382,Red80,5.6064e-05,Red
382,Red90,2.7215e-05,Red
382,White10,1.0295e-05,White
382,White100,5.5461e-05,White
382,White20,2.607e-05,White
382,White30,0,White
382,White40,0,White
382,White50,0,White
382,White60,3.447e-05,White
382,White70,5.288e-05,White
382,White80,4.9931e-05,White
382,White90,6.0391e-05,White
383,Red10,0.00017854,Red
383,Red100,2.4993e-05,Red
383,Red20,2.9274e-05,Red
383,Red30,7.1547e-05,Red
383,Red40,0,Red
383,Red50,8.255e-05,Red
383,Red60,2.627e-05,Red
383,Red70,0,Red
383,Red80,6.2178e-05,Red
383,Red90,5.0452e-06,Red
383,White10,1.8075e-05,White
383,White100,5.127e-05,White
383,White20,2.9313e-05,White
383,White30,0,White
383,White40,0,White
383,White50,0,White
383,White60,3.2407e-05,White
383,White70,5.4798e-05,White
383,White80,4.6972e-05,White
383,White90,5.3255e-05,White
384,Red10,0.00014776,Red
384,Red100,4.6406e-05,Red
384,Red20,0,Red
384,Red30,2.1196e-05,Red
384,Red40,4.0507e-05,Red
384,Red50,0,Red
384,Red60,0,Red
384,Red70,0,Red
384,Red80,0,Red
384,Red90,0,Red
384,White10,1.8764e-05,White
384,White100,5.8337e-05,White
384,White20,2.9292e-05,White
384,White30,0,White
384,White40,0,White
384,White50,0,White
384,White60,3.6554e-05,White
384,White70,5.8293e-05,White
384,White80,4.3335e-05,White
384,White90,5.9398e-05,White
385,Red10,0.00012804,Red
385,Red100,2.1661e-05,Red
385,Red20,0,Red
385,Red30,0,Red
385,Red40,4.8718e-05,Red
385,Red50,0,Red
385,Red60,2.5739e-06,Red
385,Red70,0,Red
385,Red80,0,Red
385,Red90,6.864e-06,Red
385,White10,2.2961e-05,White
385,White100,5.0784e-05,White
385,White20,3.6046e-05,White
385,White30,0,White
385,White40,0,White
385,White50,0,White
385,White60,3.2591e-05,White
385,White70,5.5747e-05,White
385,White80,4.3847e-05,White
385,White90,4.9423e-05,White
386,Red10,0.00013747,Red
386,Red100,0,Red
386,Red20,0,Red
386,Red30,0,Red
386,Red40,2.492e-05,Red
386,Red50,0,Red
386,Red60,9.4843e-06,Red
386,Red70,0,Red
386,Red80,1.0414e-05,Red
386,Red90,1.4319e-05,Red
386,White10,2.27e-05,White
386,White100,4.9963e-05,White
386,White20,3.3407e-05,White
386,White30,0,White
386,White40,0,White
386,White50,0,White
386,White60,3.8601e-05,White
386,White70,5.7229e-05,White
386,White80,5.8357e-05,White
386,White90,5.5396e-05,White
387,Red10,0.00012375,Red
387,Red100,0,Red
387,Red20,0,Red
387,Red30,0,Red
387,Red40,0,Red
387,Red50,0,Red
387,Red60,0,Red
387,Red70,0,Red
387,Red80,0,Red
387,Red90,0,Red
387,White10,1.3839e-05,White
387,White100,7.3475e-05,White
387,White20,2.4019e-05,White
387,White30,0,White
387,White40,0,White
387,White50,0,White
387,White60,5.4493e-05,White
387,White70,5.9805e-05,White
387,White80,7.3419e-05,White
387,White90,7.2087e-05,White
388,Red10,0.00011066,Red
388,Red100,0,Red
388,Red20,1.8149e-05,Red
388,Red30,0,Red
388,Red40,5.7165e-07,Red
388,Red50,0,Red
388,Red60,3.8595e-06,Red
388,Red70,2.2586e-05,Red
388,Red80,1.9958e-05,Red
388,Red90,0,Red
388,White10,1.1694e-05,White
