filename,site,condition,mean_dsu,median_dsu,sd_dsu,mean_dsu_g,iso,aperture_f,exposure_s
grte05_distance_white100_p1.CR2,GRTE05,white100,11.976354388576782,4.466294293435284,112.14868182173349,11.069196814742153,3200.0,3.5,30.0
grte05_distance_white100_p2.CR2,GRTE05,white100,11.892202223759032,4.441690541116273,110.67243236351992,10.982653562593907,3200.0,3.5,30.0
grte05_distance_white100_p3.CR2,GRTE05,white100,11.901113870572134,4.4668069251674805,109.77915570382702,11.006534368826829,3200.0,3.5,30.0
grte06_distance_dark_p1.CR2,GRTE06,dark,3.089594190388575,3.117468942067236,5.423164327921668,3.076111839459803,3200.0,3.5,30.0
grte06_distance_dark_p2.CR2,GRTE06,dark,3.087271626981633,3.117615250066182,5.420097227893306,3.0741722809987904,3200.0,3.5,30.0
grte06_distance_dark_p3.CR2,GRTE06,dark,3.097973249696321,3.1232825120266137,5.4848232337204825,3.0826936933266627,3200.0,3.5,30.0
grte06_distance_white100_p1.CR2,GRTE06,white100,3.6401212323652907,3.632560484878154,5.434377550737993,3.5630674566621043,3200.0,3.5,30.0
grte06_distance_white100_p2.CR2,GRTE06,white100,3.6146141864039256,3.620864220966584,5.451279908761102,3.5291561827032756,3200.0,3.5,30.0
grte06_distance_white100_p3.CR2,GRTE06,white100,3.6151694440101827,3.6156424124668853,5.503021119630966,3.529544282044662,3200.0,3.5,30.0
grte08_distance_dark_p1.CR2,GRTE08,dark,4.3698686672804845,4.233011659697522,4.627824220827654,4.376854357662748,3200.0,3.5,30.0
grte08_distance_dark_p2.CR2,GRTE08,dark,4.366449528491553,4.2297011918259955,4.752516318295586,4.3750523386316615,3200.0,3.5,30.0
grte08_distance_dark_p3.CR2,GRTE08,dark,4.323881550149066,4.194177004256768,4.778633716339257,4.32296246840786,3200.0,3.5,30.0
grte08_distance_white100_p1.CR2,GRTE08,white100,2.163149960781958,0.941183885366341,4.845149259844725,2.092780224266993,3200.0,3.5,30.0
grte08_distance_white100_p2.CR2,GRTE08,white100,2.1611648101434824,0.93850356387885,4.921413773499658,2.0914891516591454,3200.0,3.5,30.0
grte08_distance_white100_p3.CR2,GRTE08,white100,2.1634283399177705,0.9447012516369206,4.9487170409239,2.093434742059845,3200.0,3.5,30.0
grte09_distance_dark_p1.CR2,GRTE09,dark,4.034219155491518,3.9604564030034517,4.684352628929997,4.034661836294996,3200.0,3.5,30.0
grte09_distance_dark_p2.CR2,GRTE09,dark,4.00147434305692,3.9398680772770067,4.52271366304729,3.9946976288207257,3200.0,3.5,30.0
grte09_distance_dark_p3.CR2,GRTE09,dark,4.0326594861859535,3.955474700530377,4.735626681015459,4.031695060792911,3200.0,3.5,30.0
grte10_distance_dark_p1.CR2,GRTE10,dark,2.702300750893447,2.6942434825799886,4.434069142017247,2.6779350146826624,3200.0,3.5,30.0
grte10_distance_dark_p2.CR2,GRTE10,dark,2.712992962898414,2.7122072767273337,4.3891569787488205,2.6889737490152728,3200.0,3.5,30.0
