row_id,cluster,F1,F2,F3,StreetlightCondition,Acceptable_Sky_Conditions
62,1,0.3483321032970874,-0.14920653714195076,-0.7154930239623509,1,7
63,1,0.29450847031194083,0.9313721759419862,-0.7529630978975008,1,6
64,1,-0.22339585677956544,0.7282972840879144,0.674377583200874,1,4
65,1,1.4040163666285217,0.37741016916410797,-0.11773211524248167,1,6
66,1,-0.01860081357221711,0.34999170949160846,-0.8197771739116195,1,6
67,1,0.9047624122974005,0.7920282233175263,-0.17900909091233863,1,7
68,1,1.369487376315035,0.8736327265268562,-0.5220551899738916,1,7
69,1,0.7129643224678844,1.3409280556386307,-0.9486634614319105,1,4
70,1,0.20068525513960597,0.8372677938219127,0.0460327002095406,1,6
71,2,-1.096668509011821,-0.10059033399738154,0.04732991055225303,1,6
72,1,0.7020163828966666,0.16804158548705705,0.7613954180540358,1,6
73,2,-0.2977560968703733,-0.35227925052350045,-0.7384578614516065,1,6
74,1,1.3185605944514636,0.8713839036299529,0.31786554062616235,1,6
75,1,0.6943640978059188,0.5941941792548412,0.686451843015391,1,7
76,1,0.6783460663552546,-0.008351270696012675,0.7724978972561954,1,6
77,1,1.4718239462145286,0.500212836700298,1.5793994843525472,1,7
78,1,0.4301044799656235,0.27283938075209746,1.9748872143258662,1,4
79,2,-0.9857958412115757,-0.3894471906648264,-0.261104783340982,1,3
80,1,0.656560039713002,0.4030860237139461,-0.2334614758408274,1,7
81,1,0.13777564606599363,0.8776577872285,-0.780940018051935,1,2
82,1,0.08863747700519574,-0.06078137677228086,-0.7012797763162354,1,3
83,1,1.3047037962110681,1.167176743125038,-0.7237874130331244,1,7
84,2,0.014684973931983194,-0.5485373109628178,1.7113497472891168,1,NA
85,1,0.012394392125131562,-0.3728030139828786,-0.6220521148771863,1,NA
86,1,0.6863755084493782,-0.019301206989431503,0.5190085931424677,2,6
87,1,0.05351177184640617,0.7796981850356228,-0.7126419101725944,2,7
88,2,-1.39420279053981,-1.2149086397573912,0.16728913132232184,2,6
89,1,0.5323867104767891,-0.06826533967507632,0.5478087792966265,2,5
90,1,1.3255470086587864,1.095797675157273,-0.670900890251059,2,7
91,2,-1.5329706991398424,-0.2673715553033731,-0.20553816339470038,2,2
92,2,-1.5039308245641985,-1.3006932870674008,1.5271570958681344,2,2
93,1,1.5510846024633917,0.5561337478258329,0.3983914883278934,2,3
94,2,-0.10435354920302921,-0.8249983378055726,-0.9124634360388304,2,6
95,2,0.47210084282196635,-2.139170906858723,3.845774367629241,2,1
96,1,-0.8056784511726802,0.9358294077864425,-0.5077402510774108,2,5
97,2,-1.148743396076374,-1.7589715389126044,0.667854087264553,2,1
98,1,0.3485160147214526,0.17559852256199043,0.681866089241808,2,6
99,1,0.11838699862112241,0.21049539996649028,-0.71179289773537735,2,5
100,1,0.9913389800639354,0.5761438589490903,-0.7793366141752927,2,6
101,1,1.2830855999992388,-0.5531144490727345,0.014710002897363638,2,3
