color,dist_km,response,SE,df,lower_CL,upper_CL,species
R,5.358005728848928,1.905784061448978,0.4917418869472,Inf,1.1493215221721786,3.1601364968860772,Epfu
W,5.358005728848928,1.5946660246738766,0.4580384690048375,Inf,0.9081921897861132,2.8000237822437923,Epfu
R,5.549363076307818,1.8776206478853517,0.4973210174022624,Inf,1.117254410915813,3.1554668864324205,Epfu
W,5.549363076307818,1.5711002704747317,0.46067081557319434,Inf,0.8843384150133281,2.7911894564125364,Epfu
R,5.740720423766709,1.8498734293564103,0.5030760717348645,Inf,1.08556636247965,3.152300792392132,Epfu
W,5.740720423766709,1.5478827677353797,0.46352281292729985,Inf,0.8606778752974528,2.7837837260822993,Epfu
R,5.932077771225599,1.8225362553894304,0.5089604046504546,Inf,1.0543143878266328,3.1505198454667434,Epfu
W,5.932077771225599,1.5250083700438612,0.4665575566502744,Inf,0.8372546785438881,2.7777098036029977,Epfu
R,6.1234351186844895,1.7956030664025262,0.5149321816977747,Inf,1.023547285080937,3.1500160462241875,Epfu
W,6.1234351186844895,1.5024720070411806,0.4697410625526048,Inf,0.8141081175538307,2.772877561674832,Epfu
R,6.31479246614338,1.7690678923614753,0.5209540494326843,Inf,0.9933062809089689,3.150691048606269,Epfu
W,6.31479246614338,1.4802686832974088,0.47304217778005275,Inf,0.7912728478936966,2.7692032913600246,Epfu
R,6.50614981360227,1.7429248514563962,0.5269927931741537,Inf,0.9636256903932341,3.1524554275681957,Epfu
W,6.50614981360227,1.4583934772043887,0.47643246496591096,Inf,0.7687791140997124,2.7666094139967012,Epfu
R,6.697507161061161,1.7171681487979809,0.533018994607595,Inf,0.9345335723481953,3.1552279538092916,Epfu
W,6.697507161061161,1.4368415398848091,0.47988606742927215,Inf,0.746653009053614,2.7650241621008527,Epfu
R,6.888864508520051,1.6917920751329956,0.5390066980544085,Inf,0.9060523636629512,3.158934891921459,Epfu
W,6.888864508520051,1.415608094117398,0.4833795621778984,Inf,0.7249167537898928,2.7643812419205154,Epfu
R,7.080221855978941,1.6667910055787618,0.5449330914362741,Inf,0.8781994816231959,3.1635093329174646,Epfu
W,7.080221855978941,1.3946884332779992,0.4868918062650036,Inf,0.7035889873411854,2.764619487962782,Epfu
R,7.271579203437831,1.6421593983763403,0.5507782057687532,Inf,0.8509878873668226,3.1688905679022,Epfu
W,7.271579203437831,1.3740779202962976,0.49040378093198994,Inf,0.682685058386217,2.7656825176590356,Epfu
R,7.462936550896721,1.6178917936621393,0.556524635344274,Inf,0.8244266068175923,3.1750235064628898,Epfu
W,7.462936550896721,1.3537719866279632,0.4938984369762978,Inf,0.6622173123740335,2.767518392426862,Epfu
R,0,5.64232799654675,2.0527374091329076,Inf,2.7655555378775367,11.511562427362474,Lano
W,0,4.719292314722493,1.7253109320877866,Inf,2.3050950496388434,9.661952966012516,Lano
R,0.1913573474588903,5.546431687361234,1.947581442637937,Inf,2.786901502825105,11.038389563240816,Lano
W,0.1913573474588903,4.639083805889536,1.637511352762178,Inf,2.3225962044585917,9.265966471810026,Lano
R,0.3827146949177806,5.452165219992962,1.848705538117792,Inf,2.805084026486834,10.597224648322113,Lano
W,0.3827146949177806,4.560238510958191,1.5549630028910595,Inf,2.337450660059729,8.896776146836308,Lano
R,0.5740720423766709,5.35950089385188,1.7562287034890496,Inf,2.8196698871995634,10.187096710007927,Lano
W,0.5740720423766709,4.482733260913493,1.477762583778981,Inf,2.349301170093367,8.553563819023468,Lano
R,0.7654293898355612,5.268411479143726,1.670282387464853,Inf,2.8302000827205376,9.807136846272966,Lano
