rec_key,site,id_445,id_30
GRTE01_20220720_001304,GRTE01,Laci,Laci
GRTE01_20220720_002903,GRTE01,Myvo,Myvo
GRTE01_20220720_013146,GRTE01,Myev,Myse
GRTE01_20220720_013442,GRTE01,Mylu,Mylu
GRTE01_20220720_220701,GRTE01,Lano,Lano
GRTE01_20220720_222355,GRTE01,Laci,Laci
GRTE01_20220720_223012,GRTE01,Laci,Laci
GRTE01_20220720_230151,GRTE01,Myev,Myse
GRTE01_20220720_232603,GRTE01,Laci,Laci
GRTE01_20220720_232653,GRTE01,Laci,Laci
GRTE01_20220721_002719,GRTE01,Laci,Laci
GRTE01_20220721_010900,GRTE01,Mylu,Coto
GRTE01_20220721_012615,GRTE01,Mylu,Mylu
GRTE01_20220721_020500,GRTE01,Lano,Lano
GRTE01_20220721_032419,GRTE01,Mylu,Mylu
GRTE01_20220721_044329,GRTE01,Mylu,Mylu
GRTE01_20220721_215711,GRTE01,Lano,Lano
GRTE01_20220721_215916,GRTE01,Lano,Lano
GRTE01_20220721_220437,GRTE01,Mylu,Mylu
GRTE01_20220721_222046,GRTE01,Lano,Lano
GRTE01_20220721_224528,GRTE01,Myvo,Myvo
GRTE01_20220721_225515,GRTE01,Laci,Laci
GRTE01_20220721_230320,GRTE01,Myvo,Myvo
GRTE01_20220721_231020,GRTE01,Myvo,Myvo
GRTE01_20220721_233539,GRTE01,Lano,NoID
GRTE01_20220722_000944,GRTE01,Laci,Laci
GRTE01_20220722_011658,GRTE01,Laci,Laci
GRTE01_20220722_050147,GRTE01,Mylu,Mylu
GRTE01_20220722_215706,GRTE01,Laci,Laci
GRTE01_20220722_215720,GRTE01,Laci,Laci
GRTE01_20220722_222525,GRTE01,Myvo,Mylu
GRTE01_20220722_223109,GRTE01,Mylu,NoID
GRTE01_20220722_223426,GRTE01,Mylu,Mylu
GRTE01_20220722_224602,GRTE01,Laci,NoID
GRTE01_20220722_232218,GRTE01,Myvo,Mylu
GRTE01_20220722_232537,GRTE01,Mylu,Labo
GRTE01_20220722_235257,GRTE01,Myvo,Myvo
GRTE01_20220723_000605,GRTE01,Myvo,Mylu
GRTE01_20220723_003928,GRTE01,Myvo,Myvo
GRTE01_20220723_011715,GRTE01,Myvo,Mylu
GRTE01_20220723_013412,GRTE01,Myev,Myse
GRTE01_20220723_013517,GRTE01,Myev,Myse
GRTE01_20220723_020503,GRTE01,Laci,Laci
