rec_key,site,id_a,id_b
GRTE01_20240704_225916,GRTE01,Lano,Lano
GRTE01_20240704_230657,GRTE01,Mylu,Mylu
GRTE01_20240705_002616,GRTE01,Lano,Lano
GRTE01_20240705_002811,GRTE01,Lano,Lano
GRTE01_20240705_002851,GRTE01,Lano,Lano
GRTE01_20240705_013532,GRTE01,Lano,Lano
GRTE01_20240705_021359,GRTE01,Lano,Lano
GRTE01_20240705_035017,GRTE01,Lano,Lano
GRTE01_20240705_215407,GRTE01,Epfu,Epfu
GRTE01_20240705_215547,GRTE01,Lano,Lano
GRTE01_20240705_222609,GRTE01,Lano,Lano
GRTE01_20240705_223803,GRTE01,Lano,Lano
GRTE01_20240705_224507,GRTE01,Lano,Lano
GRTE01_20240706_001638,GRTE01,Laci,Laci
GRTE01_20240706_001702,GRTE01,Laci,Laci
GRTE01_20240706_002238,GRTE01,Laci,Laci
GRTE01_20240706_004014,GRTE01,Lano,Lano
GRTE01_20240706_023036,GRTE01,Lano,Lano
GRTE01_20240706_032126,GRTE01,Lano,Lano
GRTE01_20240706_035439,GRTE01,Laci,Laci
GRTE01_20240706_220224,GRTE01,Lano,Lano
GRTE01_20240706_222431,GRTE01,Mylu,Labo
GRTE01_20240706_230554,GRTE01,Lano,Lano
GRTE01_20240706_230721,GRTE01,Lano,Lano
GRTE01_20240706_231805,GRTE01,Epfu,Epfu
GRTE01_20240706_231914,GRTE01,Myvo,Myvo
GRTE01_20240707_000900,GRTE01,Lano,Lano
GRTE01_20240707_001427,GRTE01,Lano,Lano
GRTE01_20240707_001448,GRTE01,Lano,Lano
GRTE01_20240707_001514,GRTE01,Lano,Lano
GRTE01_20240707_004252,GRTE01,Lano,Lano
GRTE01_20240707_005133,GRTE01,Lano,Lano
GRTE01_20240707_010317,GRTE01,Lano,Lano
GRTE01_20240707_021356,GRTE01,Lano,Lano
GRTE01_20240707_021437,GRTE01,Lano,Lano
GRTE01_20240707_021655,GRTE01,Lano,Lano
GRTE01_20240707_021747,GRTE01,Lano,Lano
GRTE01_20240707_021804,GRTE01,Lano,Lano
GRTE01_20240707_021848,GRTE01,Myev,Myse
GRTE01_20240707_025851,GRTE01,Lano,Lano
GRTE01_20240707_032424,GRTE01,Lano,Lano
GRTE01_20240707_215142,GRTE01,Lano,Lano
GRTE01_20240707_215618,GRTE01,Epfu,Epfu
GRTE01_20240707_221030,GRTE01,Epfu,Epfu
GRTE01_20240707_221405,GRTE01,Lano,Epfu
GRTE01_20240707_221701,GRTE01,Epfu,Epfu
GRTE01_20240707_224352,GRTE01,Lano,Lano
GRTE01_20240707_225207,GRTE01,Lano,Lano
GRTE01_20240707_230255,GRTE01,Myev,Myse
GRTE01_20240707_233321,GRTE01,Lano,Lano
GRTE01_20240707_234632,GRTE01,Lano,Lano
GRTE01_20240708_040858,GRTE01,Lano,Lano
GRTE01_20240708_043100,GRTE01,Mylu,Mylu
GRTE01_20240708_223005,GRTE01,Lano,NoID
GRTE01_20240708_224818,GRTE01,Lano,Lano
GRTE01_20240708_225604,GRTE01,Myyu,Myyu
GRTE01_20240708_225913,GRTE01,Lano,Lano
GRTE01_20240708_230747,GRTE01,Laci,Laci
GRTE01_20240708_231622,GRTE01,Lano,Lano
GRTE01_20240708_231746,GRTE01,Myev,Myse
GRTE01_20240708_232821,GRTE01,Lano,Epfu
GRTE01_20240708_235607,GRTE01,Lano,Lano
GRTE01_20240708_235654,GRTE01,Lano,Lano
GRTE01_20240708_235715,GRTE01,Lano,Lano
GRTE01_20240708_235726,GRTE01,Lano,Lano
GRTE01_20240709_000146,GRTE01,Lano,Lano
GRTE01_20240709_000848,GRTE01,Lano,Lano
GRTE01_20240709_001027,GRTE01,Lano,Lano
GRTE01_20240709_002541,GRTE01,Myev,Myse
GRTE01_20240709_005134,GRTE01,Myev,Myse
GRTE01_20240709_005611,GRTE01,Myev,Myse
GRTE01_20240709_220352,GRTE01,Epfu,Epfu
GRTE01_20240709_220654,GRTE01,Lano,Epfu
GRTE01_20240709_222555,GRTE01,Lano,Lano
GRTE01_20240709_222818,GRTE01,Mylu,Mylu
GRTE01_20240709_223952,GRTE01,Lano,Epfu
